"filename", "language", "TypeScript", "Markdown", "JSON with Comments", "JSON", "Ignore", "TypeScript JSX", "JavaScript", "comment", "blank", "total"
"/Users/Coco/Desktop/Programming/Biz/react-native/PAO/frontend/PAOApp/src/screens/AccountSettingsScreen.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 129, 0, 0, 16, 145
"/Users/Coco/Desktop/Programming/Biz/react-native/PAO/frontend/PAOApp/src/screens/DiscoverScreen.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 52, 0, 2, 6, 60
"/Users/Coco/Desktop/Programming/Biz/react-native/PAO/frontend/PAOApp/src/screens/HomeScreen.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 56, 0, 1, 7, 64
"/Users/Coco/Desktop/Programming/Biz/react-native/PAO/frontend/PAOApp/src/screens/LanguageRegionSettingsScreen.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 20, 0, 0, 4, 24
"/Users/Coco/Desktop/Programming/Biz/react-native/PAO/frontend/PAOApp/src/screens/LoginScreen.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 109, 0, 0, 13, 122
"/Users/Coco/Desktop/Programming/Biz/react-native/PAO/frontend/PAOApp/src/screens/MeetupsScreen.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 52, 0, 2, 5, 59
"/Users/Coco/Desktop/Programming/Biz/react-native/PAO/frontend/PAOApp/src/screens/NotificationSettingsScreen.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 20, 0, 0, 4, 24
"/Users/Coco/Desktop/Programming/Biz/react-native/PAO/frontend/PAOApp/src/screens/NotificationsScreen.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 52, 0, 2, 7, 61
"/Users/Coco/Desktop/Programming/Biz/react-native/PAO/frontend/PAOApp/src/screens/PrivacySettingsScreen.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 20, 0, 0, 4, 24
"/Users/Coco/Desktop/Programming/Biz/react-native/PAO/frontend/PAOApp/src/screens/ProfileScreen.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 71, 0, 8, 11, 90
"/Users/Coco/Desktop/Programming/Biz/react-native/PAO/frontend/PAOApp/src/screens/SettingsScreen.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 52, 0, 1, 8, 61
"/Users/Coco/Desktop/Programming/Biz/react-native/PAO/frontend/PAOApp/src/screens/SignUpScreen.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 128, 0, 0, 11, 139
"/Users/Coco/Desktop/Programming/Biz/react-native/PAO/frontend/PAOApp/src/screens/WelcomeScreen.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 53, 0, 1, 8, 62
"/Users/Coco/Desktop/Programming/Biz/react-native/PAO/frontend/PAOApp/src/services/api.ts", "TypeScript", 21, 0, 0, 0, 0, 0, 0, 0, 4, 25
"/Users/Coco/Desktop/Programming/Biz/react-native/PAO/frontend/PAOApp/src/styles/colors.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"/Users/Coco/Desktop/Programming/Biz/react-native/PAO/frontend/PAOApp/src/styles/globalStyles.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"/Users/Coco/Desktop/Programming/Biz/react-native/PAO/frontend/PAOApp/src/styles/typography.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"/Users/Coco/Desktop/Programming/Biz/react-native/PAO/frontend/PAOApp/tsconfig.json", "JSON with Comments", 0, 0, 14, 0, 0, 0, 0, 0, 1, 15
"Total", "-", 744, 43, 27, 12937, 2, 876, 6, 43, 292, 14970
