"filename", "language", "TypeScript", "TypeScript JSX", "JSON", "comment", "blank", "total"
"/Users/Coco/Desktop/Programming/Biz/react-native/PAO/backend/src/controllers/eventController.ts", "TypeScript", 9, 0, 0, 0, 2, 11
"/Users/Coco/Desktop/Programming/Biz/react-native/PAO/backend/src/controllers/matchController.ts", "TypeScript", 42, 0, 0, 7, 9, 58
"/Users/Coco/Desktop/Programming/Biz/react-native/PAO/backend/src/index.ts", "TypeScript", -4, 0, 0, 0, 1, -3
"/Users/Coco/Desktop/Programming/Biz/react-native/PAO/backend/src/models/User.ts", "TypeScript", 10, 0, 0, 0, 0, 10
"/Users/Coco/Desktop/Programming/Biz/react-native/PAO/backend/src/routes/matchRoutes.ts", "TypeScript", 6, 0, 0, 0, 3, 9
"/Users/Coco/Desktop/Programming/Biz/react-native/PAO/frontend/PAOApp/package-lock.json", "JSON", 0, 0, 10, 0, 0, 10
"/Users/Coco/Desktop/Programming/Biz/react-native/PAO/frontend/PAOApp/package.json", "JSON", 0, 0, 1, 0, 0, 1
"/Users/Coco/Desktop/Programming/Biz/react-native/PAO/frontend/PAOApp/src/navigation/AppNavigator.tsx", "TypeScript JSX", 0, 4, 0, 0, 1, 5
"/Users/Coco/Desktop/Programming/Biz/react-native/PAO/frontend/PAOApp/src/navigation/types.tsx", "TypeScript JSX", 0, 2, 0, 0, 2, 4
"/Users/Coco/Desktop/Programming/Biz/react-native/PAO/frontend/PAOApp/src/screens/EventCreationScreen.tsx", "TypeScript JSX", 0, 133, 0, 1, 15, 149
"/Users/Coco/Desktop/Programming/Biz/react-native/PAO/frontend/PAOApp/src/screens/HomeScreen.tsx", "TypeScript JSX", 0, 8, 0, 0, 0, 8
"/Users/Coco/Desktop/Programming/Biz/react-native/PAO/frontend/PAOApp/src/screens/LoginScreen.tsx", "TypeScript JSX", 0, 22, 0, 0, -1, 21
"/Users/Coco/Desktop/Programming/Biz/react-native/PAO/frontend/PAOApp/src/screens/MealMatchScreen.tsx", "TypeScript JSX", 0, 127, 0, 0, 12, 139
"/Users/Coco/Desktop/Programming/Biz/react-native/PAO/frontend/PAOApp/src/screens/MeetupsScreen.tsx", "TypeScript JSX", 0, 93, 0, 3, 10, 106
"/Users/Coco/Desktop/Programming/Biz/react-native/PAO/frontend/PAOApp/src/screens/ProfileScreen.tsx", "TypeScript JSX", 0, 33, 0, -6, 2, 29
"/Users/Coco/Desktop/Programming/Biz/react-native/PAO/frontend/PAOApp/src/screens/SignUpScreen.tsx", "TypeScript JSX", 0, 8, 0, 0, -1, 7
"Total", "-", 63, 430, 11, 5, 55, 564
